cartodb_id,the_geom,fuel_type_code,station_name,street_address,intersection_directions,plus4,station_phone,status_code,expected_date,groups_with_access_code,access_days_time,cards_accepted,bd_blends,ng_fill_type_code,ng_psi,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_other_info,ev_network,ev_network_web,date_last_confirmed,id,updated_at,owner_type_code,federal_agency_id,federal_agency_name,open_date,hydrogen_status_link,ng_vehicle_class,lpg_primary,e85_blender_pump,ev_connector_types,address,latitude,longitude,affgeoid,median_household_income
12132,0101000020E61000000B123697762A5EC0EE28290BBAA64140,ELEC,CALPOLY,University Dr,"LOT H2 EV3; Lot H2 adjacent to Kennedy Library off of Highland and University Dr. .
LOT H2 EV2; Lot H2 adjacent to Kennedy Library off of Highland and University Dr. 
LOT H2 EV1; Lot H2 adjacent to Kennedy Library off of Highland and University Dr. 
LOT H2 EV4; Lot H2 adjacent to Kennedy Library off of Highland and University Dr. .",,888-758-4389,E,,Public,24 hours daily,,,,,,8,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,66490,2015-10-09 07:46:46+00,,,,,,,,,J1772,"University Dr
San Luis Obispo, CA 93405",35.3025526,-120.6634882,1400000US06079010901,4541
20843,0101000020E610000030F2B226162A5EC088C7348930A64140,ELEC,CALPOLY,Tahoe Rd,"GRAND EV1; Grand Avenue Structure, Level 1, Staff side
GRAND EV2; Grand Avenue Structure, Level 1, Staff Side",,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,66491,2015-10-09 07:46:48+00,,,,,,,,,J1772,"Tahoe Rd
San Luis Obispo, CA 93405",35.2983562,-120.657602,1400000US06079010901,4541
14467,0101000020E61000001081D9F36B925DC0899B53C900034140,ELEC,University of Southern California - Lot 6,941 W 35th St,,,213-740-2787,E,,Public,"24 hours daily; pay lot",,,,,,2,,,,,08/04/2015,21407,2015-08-04 12:19:56+00,P,,,01/31/2002,,,,,J1772,"941 W 35th St
Los Angeles, CA 90089",34.0234615,-118.2878389,1400000US06037222700,9236
14459,0101000020E6100000C8563C9A8F925DC0B9E4130DAD024140,ELEC,USC CAMPUS,3667 McClintock Ave,"PSA LEVEL #1; Enter PSA from McClintock entrance, chargers are at the bottom of the ramp on the right hand side",,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,62347,2015-10-09 07:50:27+00,,,,,,,,,J1772,"3667 McClintock Ave
Los Angeles, CA 90089",34.0209061,-118.2900148,1400000US06037222700,9236
6316,0101000020E6100000B9AC1D2073925DC00AD1C6B6B1024140,ELEC,USC CAMPUS,933-999 Downey Way,"LOT #2, #1; Enter from Downey Way",,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,62344,2015-10-09 07:50:25+00,,,,,,,,,J1772,"933-999 Downey Way
Los Angeles, CA 90089",34.0210484,-118.2882767,1400000US06037222700,9236
1886,0101000020E61000002A74B91C0A925DC0250C5E4FCF024140,ELEC,USC CAMPUS,649 W 34th St,"PSD BASEMENT #1; Inside Structure at bottom of first floor ramp going down to the basement level",,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,62346,2015-10-09 07:50:26+00,,,,,,,,,J1772,"649 W 34th St
Los Angeles, CA 90089",34.0219516,-118.2818672,1400000US06037222700,9236
20418,0101000020E61000000BB5A679C7915DC0C190D5AD9E034140,ELEC,"AAA - Auto Club of Southern California, Los Angeles Branch",2601 S Figueroa St,At W Adams Blvd,,213-741-3686,E,,Public,9am-5pm M-F,,,,,,2,,,,,05/05/2015,48358,2015-05-05 11:57:10+00,P,,,04/20/2012,,,,,J1772,"2601 S Figueroa St
Los Angeles, CA 90007",34.02828,-118.2778,1400000US06037224700,10560
9050,0101000020E6100000A06F0B96EA8F5DC0BDC282FB01074140,ELEC,The Emerson,225 S. Grand Avenue,,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1,,,Blink Network,http://www.blinknetwork.com/,10/09/2015,67002,2015-10-09 07:12:46+00,,,,,,,,,J1772,"225 S. Grand Avenue
Los Angeles, CA 90012",34.054748,-118.248693,1400000US06037207400,10598
9146,0101000020E6100000A4DE5339ED8F5DC040BD19355F074140,ELEC,LADWP - Parking,111 N Hope St,Across Hope,,800-473-3652,E,,Public,24 hours daily,,,,,,51,,,,,03/04/2015,1525,2015-03-04 15:19:41+00,LG,,,10/15/1999,,,,,J1772,"111 N Hope St
Los Angeles, CA 90012",34.057593,-118.248854,1400000US06037207400,10598
6927,0101000020E6100000569A9482EE8F5DC0049E6AE33E074140,ELEC,Music Center Parking,135 N Grand Ave,"Music Center Parking Lot 14, level 3",,213-972-7211  323-267-2023,E,,Public,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,,,,,3,,,,,06/02/2015,63051,2015-06-02 18:19:29+00,LG,,,08/01/2014,,,,,J1772,"135 N Grand Ave
Los Angeles, CA 90012",34.0566067,-118.2489325,1400000US06037207400,10598
2010,0101000020E6100000227F7A7DF78F5DC0E6F16A6FA6074140,ELEC,Department of Health Services Administration,313 N Figueroa,Enter on N Figueroa,,213-972-7211  323-267-2023,E,,Public,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,,,,,4,,,,,06/02/2015,63052,2015-06-02 18:02:01+00,LG,,,08/01/2014,,,,,J1772,"313 N Figueroa
Los Angeles, CA 90012",34.0597667,-118.2494806,1400000US06037207400,10598
8861,0101000020E6100000A7CF0EB8AE8F5DC0ACA8C1340C074140,ELEC,Los Angeles Law Library,145 N Broadway,Parking Lot 10,,323-881-3919 ,E,,Public,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,,,,,3,,,,,06/02/2015,63050,2015-06-02 18:01:49+00,LG,,,08/01/2014,,,,,J1772,"145 N Broadway
Los Angeles, CA 90012",34.05506,-118.245039,1400000US06037207400,10598
3253,0101000020E61000009886E123E28F5DC0FF1AB5673B074140,ELEC,Hall of Administration,140 N Grand Ave,"Located in Internal Services Department  Lot 18, lower level",,,E,,Private,Los Angeles County fleet use only,,,,,,2,,,,,06/02/2015,63048,2015-06-02 18:02:02+00,LG,,,08/01/2014,,,,,J1772,"140 N Grand Ave
Los Angeles, CA 90012",34.0565004,-118.2481775,1400000US06037207400,10598
17296,0101000020E6100000E66E21D9ED8F5DC0B1BE26101B074140,ELEC,Walt Disney Concert Hall,115 S Grand Ave,Disney Concert Hall Parking Lot 16,,323-881-3919 ,E,,Public,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,,,,,6,,,,,06/02/2015,63047,2015-06-02 18:01:50+00,LG,,,08/01/2014,,,,,J1772,"115 S Grand Ave
Los Angeles, CA 90012",34.0555134,-118.2488921,1400000US06037207400,10598
20405,0101000020E6100000FFDCE1C0F58F5DC052FD39BB6B074140,ELEC,LADWP,111 N Hope St,JFB Lot 6 - 2nd floor,,,E,,Private,User account required,,,,,4,,,,,,03/04/2015,60132,2015-03-04 14:25:19+00,SG,,,01/01/2014,,,,,NEMA515,"111 N Hope St
Los Angeles, CA 90012",34.0579752,-118.2493746,1400000US06037207400,10598
